Turn,Current_Player,Num_Turns,Resource_Bank,Dev_Card_Bank,Actions_Taken,RED_VP,RED_Settlements,RED_Cities,RED_Roads,RED_Dev_Cards,RED_Class,BLUE_VP,BLUE_Settlements,BLUE_Cities,BLUE_Roads,BLUE_Dev_Cards,BLUE_Class,Num_Players,Winner,Game_ID
879,BLUE,359,"[16, 18, 19, 19, 16]",16,879,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
880,BLUE,359,"[16, 18, 19, 19, 16]",16,880,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
881,RED,360,"[16, 18, 19, 19, 16]",16,881,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
882,RED,360,"[16, 18, 19, 19, 16]",16,882,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
883,RED,360,"[16, 18, 19, 19, 16]",16,883,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
884,RED,360,"[19, 18, 18, 19, 16]",16,884,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
885,BLUE,361,"[19, 18, 18, 19, 16]",16,885,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
886,BLUE,361,"[19, 18, 18, 19, 16]",16,886,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
887,BLUE,361,"[19, 18, 18, 19, 16]",16,887,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
888,BLUE,361,"[19, 17, 18, 19, 19]",16,888,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
889,RED,362,"[19, 17, 18, 19, 19]",16,889,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
890,RED,362,"[19, 17, 18, 19, 19]",16,890,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
891,RED,362,"[19, 17, 18, 19, 19]",16,891,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
892,BLUE,363,"[19, 17, 18, 19, 19]",16,892,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
893,BLUE,363,"[19, 17, 18, 19, 19]",16,893,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
894,RED,364,"[19, 17, 18, 19, 19]",16,894,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
895,RED,364,"[19, 17, 18, 19, 19]",16,895,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
896,RED,364,"[19, 17, 18, 19, 19]",16,896,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
897,BLUE,365,"[19, 17, 18, 19, 19]",16,897,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
898,BLUE,365,"[19, 17, 18, 18, 19]",16,898,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
899,RED,366,"[19, 17, 18, 18, 19]",16,899,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
900,RED,366,"[19, 17, 18, 18, 19]",16,900,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
901,BLUE,367,"[19, 17, 18, 18, 19]",16,901,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
902,BLUE,367,"[18, 17, 18, 18, 19]",16,902,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
903,RED,368,"[18, 17, 18, 18, 19]",16,903,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
904,RED,368,"[18, 17, 18, 18, 19]",16,904,3,2,0,12,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
905,RED,368,"[19, 18, 18, 18, 19]",16,905,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
906,BLUE,369,"[19, 18, 18, 18, 19]",16,906,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
907,BLUE,369,"[19, 18, 18, 18, 19]",16,907,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
908,BLUE,369,"[19, 18, 18, 18, 19]",16,908,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
909,RED,370,"[19, 18, 18, 18, 19]",16,909,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
